lat,lon
39.403262,-104.736485
40.255096,-104.419399
39.783495,-104.369686
39.792803,-104.741487
40.082155,-104.85533
40.05366,-104.872872
40.236222,-104.692025
39.633104,-104.878142
39.539649,-104.434017
40.100316,-104.350113
39.63903,-104.310948
39.922419,-104.590643
40.46338,-104.374687
39.827125,-104.355569
39.784022,-104.261973
39.483843,-104.767619
39.359302,-104.939605
38.93434,-104.518043
39.740487,-104.286183
40.645728,-104.742081
40.020237,-104.846086
39.806328,-105.156949
39.91458,-104.770562
40.009863,-104.341223
38.714506,-102.97211
38.470575,-103.110885
39.463486,-104.027186
39.518556,-104.382698
40.026888,-104.9322
38.806284,-104.546617
39.503157,-104.958928
39.529456,-104.387418
40.372074,-104.486339
38.927852,-102.168238

40.044379,-104.452033
40.291668,-104.355213
39.518143,-104.078181
40.08581,-104.407198
39.90059,-104.175925
40.843275,-104.789323
39.772982,-105.095511
39.903042,-104.397324
40.161924,-104.383345
39.936926,-104.590931
40.242393,-104.825081
40.175968,-104.78908
39.725576,-104.505993
39.973866,-104.886709
39.056008,-104.856581
39.842318,-103.958944
39.566094,-104.340956
39.850799,-105.046089
40.266954,-104.251799
39.970095,-104.79231
38.354904,-103.02671
39.801855,-104.945162
39.930668,-104.787584
40.090141,-104.712494
39.628701,-104.564158
39.516177,-104.369387
38.762549,-102.550479
40.167595,-102.82479
39.103351,-104.886867
40.47534,-104.365575
39.543996,-104.373278
40.104052,-104.392878
39.152939,-104.461351
39.609466,-104.376894
39.252659,-104.598246
39.818377,-104.395832
38.155822,-103.002248
39.907995,-104.952276
39.435491,-104.512412
38.866096,-104.537846
39.622196,-104.906476
40.118456,-104.408077
40.002929,-104.058608
39.581073,-104.280001
39.926671,-104.885324
40.038674,-104.289113
40.263504,-104.788428
39.632796,-104.93092
40.605623,-103.832764
38.467058,-102.521884
38.940238,-104.757812
38.971371,-104.614632
40.230597,-104.591521
39.709078,-104.676017
39.621604,-104.175912
39.683852,-104.910473
40.964382,-103.743149
40.116002,-104.810314
39.788283,-104.140057
40.03027,-104.938256
39.700433,-104.258746
40.111279,-103.978313
40.982249,-104.393348
38.904347,-102.354221
39.739923,-104.459085
39.574931,-104.630314
40.121844,-104.180871
40.002079,-105.150132
38.22523,-102.675983
39.517487,-104.755599
40.030944,-104.130548
39.259498,-104.606673
39.567212,-104.153785
39.902902,-104.539929
39.578861,-105.042174
40.206822,-104.9104
39.531245,-104.809818
38.194389,-104.703671
39.431695,-104.901176
40.10348,-104.757938
39.988499,-104.990206
39.59602,-104.791498
40.047119,-104.711866
40.127063,-104.783077
39.610874,-104.133974
39.106109,-104.164889
40.335612,-104.599942
39.890644,-105.196441
39.392282,-104.824424
39.036364,-104.836458
38.797167,-104.587548
39.261628,-104.904266
39.056175,-104.815158
39.624605,-104.283302
39.931822,-104.858772
39.588006,-104.810248
40.106529,-104.219674
39.716852,-104.031464
39.498857,-104.985286
39.943139,-105.15499
39.953959,-104.510858
39.219766,-104.265438
39.507101,-103.876845
38.999765,-104.222923
39.914437,-104.771031
40.11096,-104.860657
39.966626,-104.858092
39.638199,-104.451686
